ATOM	X	Y	Z	RESIDUE
N	-21.309	7.109	22.605	78
CA	-21.442	7.858	23.855	78
C	-21.825	6.817	24.883	78
N	-21.934	7.224	26.142	79
CA	-22.346	6.292	27.176	79
C	-21.263	5.374	27.684	79
N	-21.655	4.331	28.404	80
CA	-20.662	3.406	28.924	80
C	-19.681	4.083	29.864	80
N	-18.365	3.85	29.706	81
CA	-17.322	4.452	30.554	81
C	-16.833	5.795	29.992	81
N	-17.52	6.302	28.975	82
CA	-17.098	7.517	28.309	82
C	-17.69	8.84	28.758	82
N	-16.876	9.879	28.667	83
CA	-17.32	11.224	28.968	83
C	-17.185	11.939	27.626	83
N	-18.262	12.567	27.175	84
CA	-18.212	13.275	25.911	84
C	-18.548	12.41	24.71	84
N	-18.515	13.019	23.533	85
CA	-18.831	12.334	22.296	85
C	-17.592	11.893	21.52	85
N	-17.648	10.699	20.945	86
CA	-16.542	10.171	20.16	86
C	-17.064	9.844	18.75	86
N	-16.398	10.368	17.714	87
CA	-16.784	10.143	16.301	87
C	-16.047	8.981	15.647	87
N	-16.772	8.194	14.864	88
CA	-16.169	7.062	14.163	88
C	-15.313	7.588	13.017	88
N	-14.057	7.164	12.97	89
CA	-13.168	7.571	11.89	89
C	-12.858	6.42	10.918	89
N	-12.72	5.198	11.441	90
CA	-12.428	4.024	10.613	90
C	-12.605	2.711	11.375	90
N	-12.731	1.614	10.629	91
CA	-12.762	0.275	11.221	91
C	-11.828	-0.619	10.388	91
N	-11.241	-1.619	11.061	92
CA	-10.313	-2.594	10.486	92
C	-10.388	-3.886	11.301	92
N	-9.731	-4.926	10.805	93
CA	-9.734	-6.234	11.45	93
C	-8.309	-6.74	11.639	93
N	-8.179	-7.709	12.535	94
CA	-6.924	-8.402	12.8	94
C	-7.407	-9.85	12.656	94
N	-6.637	-10.689	11.974	95
CA	-7.039	-12.074	11.76	95
C	-5.843	-12.993	11.635	95
N	-6.125	-14.289	11.656	96
CA	-5.063	-15.267	11.601	96
C	-4.999	-16.14	10.369	96
N	-3.95	-16.95	10.327	97
CA	-3.717	-17.861	9.221	97
C	-4.548	-19.121	9.407	97
N	-5.034	-19.322	10.632	98
CA	-5.844	-20.474	11.001	98
C	-7.014	-19.952	11.828	98
N	-8.123	-20.696	11.854	99
CA	-9.329	-20.283	12.586	99
C	-9.156	-20.166	14.102	99
N	-8.163	-20.857	14.654	100
CA	-7.941	-20.82	16.085	100
C	-7.076	-19.688	16.595	100
N	-6.831	-18.689	15.76	101
CA	-6.039	-17.561	16.191	101
C	-6.376	-16.383	15.3	101
N	-6.086	-15.188	15.782	102
CA	-6.382	-14.001	15.011	102
C	-6.79	-12.803	15.837	102
N	-7.493	-13.026	16.948	103
CA	-7.904	-11.906	17.799	103
C	-6.684	-11.415	18.582	103
N	-6.743	-10.155	18.999	104
CA	-5.69	-9.542	19.793	104
C	-6.032	-9.783	21.271	104
N	-7.235	-9.388	21.7	105
CA	-7.667	-9.637	23.078	105
C	-8.08	-11.093	23.149	105
N	-7.99	-11.669	24.337	106
CA	-8.374	-13.054	24.565	106
C	-9.3	-13.047	25.781	106
N	-10.171	-14.043	25.889	107
CA	-11.096	-14.148	27.025	107
C	-10.712	-15.436	27.739	107
N	-10.231	-15.33	28.973	108
CA	-9.793	-16.509	29.73	108
C	-8.809	-17.356	28.897	108
N	-7.908	-16.674	28.183	109
CA	-6.879	-17.269	27.31	109
C	-7.389	-17.758	25.954	109
N	-8.694	-17.68	25.722	110
CA	-9.281	-18.118	24.447	110
C	-9.06	-17.103	23.306	110
N	-8.484	-17.564	22.195	111
CA	-8.249	-16.709	21.026	111
C	-9.357	-16.958	20.014	111
N	-9.852	-15.887	19.404	112
CA	-10.897	-15.985	18.384	112
C	-10.275	-15.915	16.975	112
N	-11.075	-16.172	15.945	113
CA	-10.59	-16.147	14.556	113
C	-10.142	-14.761	14.075	113
N	-10.76	-13.71	14.6	114
CA	-10.381	-12.368	14.208	114
C	-11.002	-11.401	15.174	114
N	-10.661	-10.126	15.018	115
CA	-11.213	-9.084	15.876	115
C	-11.421	-7.775	15.098	115
N	-12.627	-7.228	15.193	116
CA	-12.997	-5.979	14.552	116
C	-12.772	-4.803	15.503	116
N	-12.149	-3.747	15.001	117
CA	-11.895	-2.556	15.788	117
C	-12.552	-1.355	15.134	117
N	-13.481	-0.729	15.854	118
CA	-14.143	0.479	15.375	118
C	-13.489	1.611	16.177	118
N	-12.676	2.412	15.496	119
CA	-11.905	3.509	16.092	119
C	-12.658	4.832	16.101	119
N	-12.812	5.432	17.297	120
CA	-13.518	6.725	17.477	120
C	-12.62	7.728	18.216	120
N	-12.772	9.023	17.94	121
CA	-11.97	10.028	18.645	121
C	-12.829	11.066	19.363	121
N	-12.363	11.481	20.534	122
CA	-13.072	12.436	21.382	122
C	-13.234	13.798	20.695	122
N	-14.471	14.171	20.381	123
CA	-14.749	15.425	19.688	123
C	-14.219	16.678	20.402	123
N	-14.018	16.574	21.712	124
CA	-13.504	17.676	22.509	124
C	-12.133	18.129	22.008	124
N	-11.439	17.257	21.28	125
CA	-10.107	17.586	20.776	125
C	-9.982	18.164	19.354	125
N	-11.104	18.365	18.665	126
CA	-11.059	18.976	17.346	126
C	-10.677	18.11	16.168	126
N	-9.622	17.316	16.306	127
CA	-9.224	16.422	15.225	127
C	-8.532	15.2	15.8	127
N	-8.347	14.189	14.961	128
CA	-7.73	12.944	15.378	128
C	-6.297	13.103	15.871	128
N	-5.53	13.935	15.182	129
CA	-4.146	14.147	15.564	129
C	-3.965	14.748	16.946	129
N	-4.92	15.566	17.377	130
CA	-4.871	16.197	18.69	130
C	-5.308	15.168	19.73	130
N	-6.342	14.396	19.394	131
CA	-6.869	13.351	20.273	131
C	-5.783	12.356	20.704	131
N	-4.872	12.005	19.802	132
CA	-3.809	11.069	20.161	132
C	-2.725	11.655	21.083	132
N	-2.925	12.871	21.573	133
CA	-1.96	13.479	22.492	133
C	-2.58	13.538	23.904	133
N	-3.745	12.904	24.05	134
CA	-4.517	12.89	25.3	134
C	-4.807	11.476	25.831	134
N	-4.807	11.3	27.17	135
CA	-5.069	9.983	27.779	135
C	-6.479	9.442	27.548	135
N	-7.402	10.317	27.175	136
CA	-8.76	9.862	26.896	136
C	-9.205	10.327	25.5	136
N	-8.251	10.367	24.574	137
CA	-8.537	10.805	23.223	137
C	-9.257	9.819	22.322	137
N	-9.023	8.526	22.52	138
CA	-9.657	7.512	21.686	138
C	-10.504	6.498	22.444	138
N	-11.471	5.937	21.732	139
CA	-12.335	4.883	22.242	139
C	-12.417	3.873	21.092	139
N	-12.014	2.635	21.359	140
CA	-12.074	1.6	20.327	140
C	-13.017	0.5	20.769	140
N	-14.015	0.224	19.93	141
CA	-15.012	-0.809	20.182	141
C	-14.475	-2.091	19.533	141
N	-14.219	-3.114	20.343	142
CA	-13.708	-4.373	19.833	142
C	-14.789	-5.435	19.789	142
N	-14.843	-6.179	18.692	143
CA	-15.825	-7.235	18.516	143
C	-15.095	-8.488	18.03	143
N	-15.339	-9.603	18.694	144
CA	-14.709	-10.869	18.326	144
C	-15.464	-11.537	17.175	144
N	-14.734	-12.229	16.3	145
CA	-15.338	-12.96	15.188	145
C	-15.069	-14.439	15.41	145
N	-16.139	-15.222	15.395	146
CA	-16.086	-16.673	15.581	146
C	-16.45	-17.266	14.222	146
N	-15.885	-18.41	13.867	147
CA	-16.223	-19.027	12.581	147
C	-17.476	-19.876	12.762	147
N	-18.438	-19.667	11.872	148
CA	-19.691	-20.385	11.934	148
C	-20.52	-20.014	10.731	148
N	-21.692	-19.444	10.953	149
CA	-22.539	-19.075	9.826	149
C	-22.125	-17.71	9.288	149
N	-22.446	-17.459	8.024	150
CA	-22.101	-16.213	7.371	150
C	-22.774	-15.009	8.012	150
N	-22.107	-13.861	7.923	151
CA	-22.635	-12.601	8.436	151
C	-22.997	-11.809	7.168	151
N	-24.306	-11.688	6.853	152
CA	-24.779	-10.963	5.665	152
C	-24.105	-9.611	5.48	152
N	-24.123	-8.803	6.54	153
CA	-23.538	-7.465	6.529	153
C	-22.045	-7.307	6.272	153
N	-21.286	-8.392	6.369	154
CA	-19.855	-8.345	6.113	154
C	-19.561	-8.653	4.652	154
N	-20.512	-9.262	3.946	155
CA	-20.273	-9.637	2.553	155
C	-19.835	-8.518	1.602	155
N	-20.348	-7.306	1.787	156
CA	-19.98	-6.193	0.912	156
C	-18.49	-5.874	1.044	156
N	-17.962	-6.041	2.251	157
CA	-16.549	-5.78	2.506	157
C	-15.734	-6.888	1.823	157
N	-16.222	-8.113	1.939	158
CA	-15.581	-9.279	1.338	158
C	-15.45	-9.179	-0.211	158
N	-16.521	-8.755	-0.885	159
CA	-16.535	-8.625	-2.354	159
C	-15.521	-7.67	-2.97	159
N	-15.278	-6.535	-2.323	160
CA	-14.348	-5.539	-2.847	160
C	-12.871	-5.8	-2.526	160
N	-12.578	-6.766	-1.661	161
CA	-11.188	-7.053	-1.299	161
C	-10.289	-7.353	-2.495	161
N	-10.89	-7.877	-3.565	162
CA	-10.161	-8.202	-4.795	162
C	-9.534	-6.972	-5.457	162
N	-10.179	-5.816	-5.314	163
CA	-9.664	-4.603	-5.929	163
C	-8.637	-3.843	-5.1	163
N	-8.384	-4.299	-3.871	164
CA	-7.393	-3.653	-2.998	164
C	-6.425	-4.72	-2.474	164
N	-6.057	-5.647	-3.35	165
CA	-5.182	-6.739	-2.971	165
C	-3.821	-6.381	-2.405	165
N	-3.173	-5.357	-2.958	166
CA	-1.824	-4.999	-2.521	166
C	-1.66	-3.649	-1.828	166
N	-0.596	-3.544	-1.035	167
CA	-0.262	-2.339	-0.282	167
C	-0.424	-1.086	-1.13	167
N	-1.178	-0.116	-0.618	168
CA	-1.367	1.135	-1.333	168
C	-2.624	1.276	-2.168	168
N	-3.258	0.173	-2.555	169
CA	-4.472	0.256	-3.358	169
C	-5.675	0.597	-2.489	169
N	-6.611	1.351	-3.054	170
CA	-7.819	1.745	-2.361	170
C	-8.945	1.723	-3.378	170
N	-10.184	1.685	-2.896	171
CA	-11.351	1.676	-3.763	171
C	-12.423	2.492	-3.089	171
N	-13.226	3.186	-3.889	172
CA	-14.324	3.988	-3.354	172
C	-15.244	2.988	-2.64	172
N	-15.682	3.339	-1.433	173
CA	-16.546	2.448	-0.663	173
C	-17.651	3.241	0.024	173
N	-18.662	3.615	-0.748	174
CA	-19.751	4.401	-0.201	174
C	-20.939	3.584	0.259	174
N	-21.751	4.231	1.079	175
CA	-22.989	3.672	1.589	175
C	-22.894	2.359	2.363	175
N	-21.809	2.145	3.104	176
CA	-21.698	0.925	3.91	176
C	-22.209	1.255	5.325	176
N	-23.105	0.413	5.832	177
CA	-23.725	0.599	7.149	177
C	-22.984	-0.247	8.179	177
N	-22.255	0.384	9.108	178
CA	-21.533	-0.428	10.095	178
C	-22.43	-1.116	11.151	178
N	-23.725	-0.813	11.124	179
CA	-24.668	-1.408	12.073	179
C	-24.852	-2.898	11.816	179
N	-24.489	-3.338	10.609	180
CA	-24.634	-4.735	10.254	180
C	-23.553	-5.608	10.854	180
N	-22.557	-4.981	11.487	181
CA	-21.426	-5.682	12.103	181
C	-21.577	-5.82	13.611	181
N	-22.676	-5.322	14.158	182
CA	-22.873	-5.392	15.605	182
C	-23.605	-6.651	16.122	182
N	-23.152	-7.194	17.266	183
CA	-23.8	-8.378	17.835	183
C	-25.149	-7.924	18.417	183
N	-25.932	-8.858	18.93	184
CA	-27.24	-8.539	19.485	184
C	-27.171	-7.728	20.794	184
N	-26.295	-8.154	21.699	185
CA	-26.119	-7.516	23.003	185
C	-24.943	-6.565	23.018	185
N	-25.074	-5.531	23.837	186
CA	-24.03	-4.546	23.984	186
C	-23.291	-4.65	25.321	186
N	-23.386	-5.813	25.988	187
CA	-22.68	-6.036	27.261	187
C	-21.179	-5.984	26.934	187
N	-20.374	-5.381	27.815	188
CA	-18.949	-5.207	27.54	188
C	-18.007	-5.209	28.754	188
N	-16.704	-5.258	28.48	189
CA	-15.651	-5.153	29.49	189
C	-14.946	-3.87	29.072	189
N	-14.399	-3.136	30.027	190
CA	-13.674	-1.916	29.708	190
C	-12.411	-1.773	30.573	190
N	-11.375	-1.191	29.974	191
CA	-10.115	-0.949	30.662	191
C	-9.341	0.114	29.872	191
N	-8.398	0.825	30.525	192
CA	-7.614	1.851	29.824	192
C	-6.394	1.202	29.169	192
N	-6.172	1.482	27.885	193
CA	-5.052	0.873	27.184	193
C	-4.396	1.711	26.095	193
N	-3.965	1.053	25.023	194
CA	-3.27	1.726	23.931	194
C	-3.647	1.213	22.527	194
N	-3.057	1.825	21.505	195
CA	-3.26	1.373	20.131	195
C	-2.458	0.082	20.128	195
N	-2.842	-0.897	19.312	196
CA	-2.11	-2.151	19.282	196
C	-1.052	-2.259	18.182	196
N	-0.857	-1.177	17.429	197
CA	0.165	-1.131	16.374	197
C	0.937	0.168	16.575	197
N	2.181	0.239	16.078	198
CA	2.936	1.481	16.245	198
C	2.071	2.619	15.71	198
N	2.177	3.827	16.302	199
CA	3.038	4.236	17.418	199
C	2.707	3.77	18.859	199
N	1.688	2.91	19.018	200
CA	1.28	2.337	20.318	200
C	0.95	3.366	21.429	200
N	0.346	4.482	21.028	201
CA	-0.023	5.566	21.947	201
C	-1.032	5.114	23.016	201
N	-0.727	5.386	24.276	202
CA	-1.599	5.004	25.368	202
C	-2.649	6.064	25.502	202
N	-3.596	6.045	24.581	203
CA	-4.638	7.066	24.558	203
C	-6.037	6.464	24.402	203
N	-6.145	5.163	24.639	204
CA	-7.397	4.45	24.412	204
C	-8.23	3.86	25.551	204
N	-9.531	4.098	25.487	205
CA	-10.458	3.507	26.442	205
C	-11.011	2.338	25.649	205
N	-10.653	1.139	26.072	206
CA	-11.112	-0.051	25.391	206
C	-12.487	-0.51	25.863	206
N	-13.365	-0.809	24.902	207
CA	-14.721	-1.304	25.173	207
C	-14.837	-2.587	24.339	207
N	-14.666	-3.727	24.994	208
CA	-14.713	-5.013	24.311	208
C	-16.06	-5.69	24.535	208
N	-16.751	-6.039	23.455	209
CA	-18.061	-6.681	23.562	209
C	-17.979	-8.147	23.96	209
N	-18.816	-8.534	24.918	210
CA	-18.866	-9.916	25.401	210
C	-19.294	-10.91	24.313	210
N	-20.303	-10.537	23.531	211
CA	-20.873	-11.397	22.48	211
C	-20.159	-11.287	21.131	211
N	-19.59	-12.404	20.629	212
CA	-18.899	-12.325	19.337	212
C	-19.877	-12.456	18.17	212
N	-19.445	-12.072	16.969	213
CA	-20.289	-12.241	15.776	213
C	-19.735	-13.458	15.03	213
N	-20.59	-14.125	14.265	214
CA	-20.17	-15.298	13.507	214
C	-19.944	-14.937	12.051	214
N	-18.908	-15.505	11.45	215
CA	-18.606	-15.29	10.035	215
C	-18.295	-16.661	9.424	215
N	-18.608	-16.848	8.147	216
CA	-18.363	-18.136	7.517	216
C	-16.901	-18.339	7.19	216
N	-16.53	-19.601	7.042	217
CA	-15.163	-19.968	6.724	217
C	-14.711	-19.257	5.44	217
N	-15.64	-19.2	4.479	218
CA	-15.432	-18.579	3.169	218
C	-15.178	-17.093	3.3	218
N	-15.9	-16.431	4.21	219
CA	-15.707	-15.0	4.45	219
C	-14.297	-14.714	4.999	219
N	-13.872	-15.433	6.041	220
CA	-12.53	-15.189	6.578	220
C	-11.436	-15.622	5.61	220
N	-11.72	-16.619	4.779	221
CA	-10.744	-17.067	3.789	221
C	-10.333	-15.904	2.886	221
N	-11.299	-15.098	2.453	222
CA	-11.017	-13.954	1.586	222
C	-10.087	-12.9	2.205	222
N	-10.15	-12.722	3.533	223
CA	-9.268	-11.769	4.235	223
C	-7.833	-12.265	4.015	223
N	-7.659	-13.58	4.118	224
CA	-6.357	-14.224	3.993	224
C	-5.7	-14.178	2.608	224
N	-6.433	-13.69	1.611	225
CA	-5.917	-13.588	0.243	225
C	-5.305	-12.214	-0.071	225
N	-5.3	-11.317	0.919	226
CA	-4.715	-9.978	0.758	226
C	-3.19	-10.034	0.868	226
N	-2.51	-8.999	0.411	227
CA	-1.058	-8.99	0.455	227
C	-0.488	-7.876	1.322	227
N	0.578	-8.18	2.064	228
CA	1.265	-7.172	2.866	228
C	2.041	-6.288	1.852	228
N	2.623	-6.951	0.848	229
CA	3.438	-6.333	-0.209	229
C	2.676	-5.455	-1.211	229
N	3.422	-4.613	-1.931	230
CA	2.835	-3.755	-2.95	230
C	2.829	-4.476	-4.294	230
N	2.171	-3.897	-5.298	231
CA	2.093	-4.505	-6.632	231
C	3.514	-4.623	-7.187	231
N	3.856	-5.795	-7.71	232
CA	5.182	-5.983	-8.263	232
C	6.175	-6.69	-7.356	232
N	6.09	-6.473	-6.043	233
CA	7.002	-7.121	-5.086	233
C	6.612	-8.594	-4.884	233
N	7.51	-9.396	-4.291	234
CA	7.223	-10.813	-4.04	234
C	6.026	-10.902	-3.082	234
N	5.231	-11.955	-3.211	235
CA	4.022	-12.108	-2.412	235
C	4.16	-12.652	-0.996	235
N	3.616	-11.892	-0.047	236
CA	3.574	-12.233	1.382	236
C	2.096	-12.104	1.762	236
N	1.427	-13.221	2.051	237
CA	0.008	-13.154	2.389	237
C	-0.211	-12.389	3.69	237
N	-1.249	-11.56	3.723	238
CA	-1.569	-10.783	4.922	238
C	-2.353	-11.662	5.898	238
N	-1.627	-12.29	6.812	239
CA	-2.215	-13.162	7.835	239
C	-1.443	-12.968	9.139	239
N	-2.104	-13.258	10.254	240
CA	-1.476	-13.11	11.56	240
C	-1.005	-11.682	11.861	240
N	-1.81	-10.691	11.487	241
CA	-1.492	-9.288	11.742	241
C	-2.053	-8.909	13.122	241
N	-1.669	-9.677	14.139	242
CA	-2.125	-9.438	15.502	242
C	-0.963	-9.418	16.493	242
N	-1.121	-8.604	17.538	243
CA	-0.143	-8.457	18.609	243
C	-0.553	-9.322	19.794	243
N	0.414	-10.029	20.406	244
CA	0.185	-10.902	21.571	244
C	-0.309	-10.087	22.799	244
N	-1.057	-10.728	23.698	245
CA	-1.561	-10.061	24.906	245
C	-0.4	-9.507	25.794	245
N	-0.569	-8.291	26.296	246
CA	0.435	-7.614	27.105	246
C	0.115	-7.686	28.604	246
N	1.111	-7.43	29.474	247
CA	0.884	-7.475	30.926	247
C	-0.116	-6.418	31.403	247
N	-1.049	-6.836	32.258	248
CA	-2.085	-5.943	32.781	248
C	-1.513	-4.859	33.688	248
N	-0.425	-5.185	34.386	249
CA	0.243	-4.249	35.301	249
C	-0.74	-3.743	36.359	249
N	-0.739	-2.446	36.632	250
CA	-1.645	-1.908	37.647	250
C	-2.967	-1.383	37.086	250
N	-3.747	-2.264	36.464	251
CA	-5.029	-1.872	35.878	251
C	-6.123	-2.851	36.252	251
N	-7.365	-2.391	36.196	252
CA	-8.489	-3.249	36.492	252
C	-9.491	-3.214	35.343	252
N	-9.957	-4.396	34.968	253
CA	-10.94	-4.558	33.915	253
C	-12.315	-4.577	34.57	253
N	-13.157	-3.623	34.204	254
CA	-14.498	-3.562	34.763	254
C	-15.482	-4.182	33.768	254
N	-16.546	-4.791	34.276	255
CA	-17.572	-5.411	33.439	255
C	-18.883	-4.704	33.675	255
N	-19.67	-4.567	32.615	256
CA	-20.967	-3.909	32.706	256
C	-22.092	-4.908	32.997	256
N	-21.742	-6.165	33.248	257
CA	-22.71	-7.226	33.506	257
C	-22.177	-8.121	34.614	257
N	-23.05	-8.944	35.182	258
CA	-22.695	-9.87	36.261	258
C	-23.344	-11.229	36.0	258
