	Knot_type	Source	ID
188	4_1	AlphaKnot	I1L257-F1
189	4_1	AlphaKnot	A0A1D6K481-F1
190	4_1	AlphaKnot	I1MGE5-F1
191	4_1	AlphaKnot	I1LUL9-F1
192	4_1	AlphaKnot	E9AHK8-F1
193	4_1	AlphaKnot	B4YB10-F1
194	4_1	AlphaKnot	Q7Y166-F1
195	4_1	AlphaKnot	Q6XFQ1-F1
196	4_1	AlphaKnot	P42497-F1
197	4_1	AlphaKnot	P14712-F1
198	4_1	AlphaKnot	Q10MG9-F1
199	4_1	AlphaKnot	Q6XFQ3-F1
200	4_1	AlphaKnot	B4YB07-F1
201	4_1	AlphaKnot	A0A1D6E935-F1
202	4_1	AlphaKnot	Q6XFQ2-F1
203	4_1	AlphaKnot	P14714-F1
204	4_1	AlphaKnot	P14713-F1
205	4_1	AlphaKnot	K7LRY6-F1
206	4_1	AlphaKnot	Q10CQ8-F1
207	5_2	AlphaKnot	Q6Z0P5-F1
208	5_2	AlphaKnot	I1MV53-F1
209	5_2	AlphaKnot	A0A1D8PS46-F1
210	5_2	AlphaKnot	Q9FJD2-F1
211	5_2	AlphaKnot	K7U0Q8-F1
212	5_2	AlphaKnot	Q9XZ61-F1
213	5_2	AlphaKnot	Q9FG72-F1
214	5_2	AlphaKnot	Q9SUA4-F1
215	5_2	AlphaKnot	Q6AVD0-F1
216	5_2	AlphaKnot	A0A1D8PL16-F1
217	5_2	AlphaKnot	O82485-F1
218	5_2	AlphaKnot	Q9FME8-F1
219	5_2	AlphaKnot	I1LM19-F1
220	5_2	AlphaKnot	Q6ETK2-F1
221	5_2	AlphaKnot	Q6K6Z5-F1
222	5_2	AlphaKnot	A0A1D6NWI3-F1
223	5_2	AlphaKnot	Q7XRV2-F1
224	5_2	AlphaKnot	Q9FFF2-F1
225	5_2	AlphaKnot	I1KAW1-F1
226	5_2	AlphaKnot	I1MLF6-F1
227	5_2	AlphaKnot	E3UJZ2-F1
228	5_2	AlphaKnot	K7U6E6-F1
229	5_2	AlphaKnot	A0A1D6E5T6-F1
230	5_2	AlphaKnot	Q4D1R0-F1
231	5_2	AlphaKnot	Q688S6-F1
232	5_2	AlphaKnot	Q9FJD1-F1
233	5_2	AlphaKnot	I1MQH0-F1
234	5_2	AlphaKnot	Q8S2I4-F1
235	5_2	AlphaKnot	Q7X660-F1
236	5_2	AlphaKnot	I1JYN1-F1
237	5_2	AlphaKnot	O04514-F1
238	5_2	AlphaKnot	E9AH53-F1
239	5_2	AlphaKnot	P40900-F1
240	5_2	AlphaKnot	I1NIJ5-F1
241	5_2	AlphaKnot	Q59UZ4-F1
242	5_2	AlphaKnot	A0A2R8QDN8-F1
243	5_2	AlphaKnot	K7K6H0-F1
244	5_2	AlphaKnot	Q9WUP7-F1
245	5_2	AlphaKnot	O14031-F1
246	5_2	AlphaKnot	I1JNF1-F1
247	5_2	AlphaKnot	Q9UUB6-F1
248	5_2	AlphaKnot	Q5VRJ9-F1
249	5_2	AlphaKnot	Q54N38-F1
250	5_2	AlphaKnot	Q8IKM8-F1
251	5_2	AlphaKnot	P40897-F1
252	5_2	AlphaKnot	Q965V9-F1
253	5_2	AlphaKnot	Q8GWE1-F1
254	5_2	AlphaKnot	K7K4Y1-F1
255	5_2	AlphaKnot	Q54T48-F1
256	5_2	AlphaKnot	Q6Z8U6-F1
257	5_2	AlphaKnot	P35127-F1
258	5_2	AlphaKnot	Q9VYQ3-F1
259	5_2	AlphaKnot	A0A0R0E8P2-F1
260	5_2	AlphaKnot	Q9T095-F1
261	5_2	AlphaKnot	K7KBN3-F1
262	5_2	AlphaKnot	Q5A741-F1
263	5_2	AlphaKnot	B7EIF2-F1
264	5_2	AlphaKnot	A0A1D8PS61-F1
265	5_2	AlphaKnot	O04482-F1
266	5_2	AlphaKnot	A0A1D6KI03-F1
267	5_2	AlphaKnot	I1M6E9-F1
268	5_2	AlphaKnot	A0A1D8PNY8-F1
269	5_2	AlphaKnot	Q7LL00-F1
270	5_2	AlphaKnot	A0A1D6LKA6-F1
271	5_2	AlphaKnot	I1LBV4-F1
272	5_2	AlphaKnot	E3UJZ1-F1
273	5_2	AlphaKnot	Q9Y5K5-F1
274	5_2	AlphaKnot	A0A0R0FWZ0-F1
275	5_2	AlphaKnot	Q7XKF4-F1
276	5_2	AlphaKnot	A0A1D6E5T4-F1
277	5_2	AlphaKnot	O23482-F1
278	5_2	AlphaKnot	A0A1D6HET2-F1
279	5_2	AlphaKnot	Q99PU7-F1
280	5_2	AlphaKnot	A0A1D6ECI1-F1
281	5_2	AlphaKnot	Q9FTU1-F1
282	5_2	AlphaKnot	Q6ZGM7-F1
283	5_2	AlphaKnot	Q7XN54-F1
284	5_2	AlphaKnot	A0A1D6Q7K9-F1
285	5_2	AlphaKnot	I1NEB8-F1
286	5_2	AlphaKnot	Q0E4J6-F1
287	5_2	AlphaKnot	Q6R3K9-F1
288	5_2	AlphaKnot	Q5VS43-F1
289	5_2	AlphaKnot	K7LY81-F1
290	5_2	AlphaKnot	Q7K5N4-F1
291	5_2	AlphaKnot	I1LBY0-F1
292	5_2	AlphaKnot	A0A1D6JBB9-F1
293	5_2	AlphaKnot	K7UGL9-F1
294	5_2	AlphaKnot	A0A1D6FNU9-F1
295	5_2	AlphaKnot	A0A0R0K2F0-F1
296	5_2	AlphaKnot	A0A2R8QIZ4-F1
297	5_2	AlphaKnot	A0A1D6HPV4-F1
298	5_2	AlphaKnot	A0A0R0FWY1-F1
299	5_2	AlphaKnot	A0A1D6E4E1-F1
300	5_2	AlphaKnot	A0A1D6Q5J0-F1
301	5_2	AlphaKnot	Q5A8H9-F1
302	5_2	AlphaKnot	Q92560-F1
303	5_2	AlphaKnot	P53134-F1
304	5_2	AlphaKnot	A0A1D6QUQ7-F1
305	5_2	AlphaKnot	Q54EF1-F1
306	5_2	AlphaKnot	A0A1D6KM35-F1
307	5_2	AlphaKnot	A1L2G3-F1
308	5_2	AlphaKnot	Q941V3-F1
309	5_2	AlphaKnot	A0A1D6G8Y8-F1
310	5_2	AlphaKnot	Q6ZCX1-F1
311	5_2	AlphaKnot	I1KNL0-F1
312	5_2	AlphaKnot	I1NIH3-F1
313	5_2	AlphaKnot	I1KL71-F1
314	5_2	AlphaKnot	Q7XRV1-F1
315	5_2	AlphaKnot	Q06593-F1
316	5_2	AlphaKnot	Q6H7J6-F1
317	5_2	AlphaKnot	A0A1D6ECH4-F1
318	5_2	AlphaKnot	P71749-F1
319	5_2	AlphaKnot	A0A1D8PLA0-F1
320	5_2	AlphaKnot	Q0J932-F1
321	5_2	AlphaKnot	Q75LM0-F1
322	5_2	AlphaKnot	I1L3V2-F1
323	5_2	AlphaKnot	Q09444-F1
324	5_2	AlphaKnot	I1NCY4-F1
325	5_2	AlphaKnot	I1N7U4-F1
326	5_2	AlphaKnot	I1MQY0-F1
327	5_2	AlphaKnot	Q9SHY2-F1
328	5_2	AlphaKnot	Q5JQD7-F1
329	5_2	AlphaKnot	Q6H3Z3-F1
330	5_2	AlphaKnot	Q6R3K4-F1
331	5_2	AlphaKnot	A0A1D6L4S2-F1
332	5_2	AlphaKnot	I1KAX7-F1
333	5_2	AlphaKnot	Q7XUJ2-F1
334	5_2	AlphaKnot	Q6R3K8-F1
335	5_2	AlphaKnot	K7TXJ3-F1
336	5_2	AlphaKnot	Q9AY27-F1
337	5_2	AlphaKnot	Q7FU78-F1
338	5_2	AlphaKnot	Q6R3L0-F1
339	5_2	AlphaKnot	I1JYL9-F1
340	5_2	AlphaKnot	A0A1D6HET4-F1
341	5_2	AlphaKnot	A0A1D6FHB2-F1
342	5_2	AlphaKnot	Q9LUN2-F1
343	5_2	AlphaKnot	Q2EF88-F1
344	5_2	AlphaKnot	D3ZHS6-F1
345	5_2	AlphaKnot	Q6R3K6-F1
346	5_2	AlphaKnot	K7UKB6-F1
347	6_3	AlphaKnot	O00534-F1
